60-79接种数情况,当日接种数
上庄镇,0
东山街道,10
人和镇,0
俚岛镇,0
城西街道,2
埠柳镇,0
夏庄镇,0
大疃镇,0
宁津街道,1
寻山街道,0
崂山街道,0
崖头街道,0
崖西镇,0
成山镇,6
斥山街道,0
桃园街道,2
港湾街道,4
港西镇,0
滕家镇,4
王连街道,0
荫子镇,0
虎山镇,0
合计,29
